age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
0.301369863,stategov,13,Never-married,Admin-clerical,Not-in-family,White,Male,0.397959184,United-States,lessthan50k
0.452054795,selfempnotinc,13,Married-civ-spouse,Exec-Managerial,Husband,White,Male,0.12244898,United-States,lessthan50k
0.287671233,private,9,Divorced,Handlers-Movers,Not-in-family,White,Male,0.397959184,United-States,lessthan50k
0.493150685,private,6,Married-civ-spouse,Handlers-Movers,Husband,Black,Male,0.397959184,United-States,lessthan50k
0.150684932,private,13,Married-civ-spouse,Prof-Speciality,Wife,Black,Female,0.397959184,Cuba,lessthan50k
0.273972603,private,14,Married-civ-spouse,Exec-Managerial,Wife,White,Female,0.397959184,United-States,lessthan50k
0.438356164,private,4,Married-spouse-absent,Other-Service,Not-in-family,Black,Female,0.153061224,Jamaica,lessthan50k
0.479452055,selfempnotinc,9,Married-civ-spouse,Exec-Managerial,Husband,White,Male,0.448979592,United-States,morethan50k
0.191780822,private,14,Never-married,Prof-Speciality,Not-in-family,White,Female,0.5,United-States,morethan50k
0.342465753,private,13,Married-civ-spouse,Exec-Managerial,Husband,White,Male,0.397959184,United-States,morethan50k
0.273972603,private,10,Married-civ-spouse,Exec-Managerial,Husband,Black,Male,0.806122449,United-States,lessthan50k
0.178082192,stategov,13,Married-civ-spouse,Prof-Speciality,Husband,Asian-Pac-Islander,Male,0.397959184,India,morethan50k
0.082191781,private,13,Never-married,Admin-clerical,Own-child,White,Female,0.295918367,United-States,lessthan50k
0.205479452,private,12,Never-married,Sales,Not-in-family,Black,Male,0.5,United-States,lessthan50k
0.232876712,private,3,Married-civ-spouse,Transport-Moving,Husband,Amer-Indian-Eskimo,Male,0.448979592,Mexico,lessthan50k
0.246575342,selfempnotinc,9,Never-married,Farming-fishing,Own-child,White,Male,0.346938776,United-States,lessthan50k
0.205479452,private,9,Never-married,Machine-op-inspect,Unmarried,White,Male,0.397959184,United-States,lessthan50k
0.287671233,private,6,Married-civ-spouse,Sales,Husband,White,Male,0.5,United-States,lessthan50k
0.356164384,selfempnotinc,14,Divorced,Exec-Managerial,Unmarried,White,Female,0.448979592,United-States,morethan50k
0.315068493,private,15,Married-civ-spouse,Prof-Speciality,Husband,White,Male,0.602040816,United-States,morethan50k
0.506849315,private,9,Separated,Other-Service,Unmarried,Black,Female,0.193877551,United-States,lessthan50k
0.246575342,federalgov,4,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0.397959184,United-States,lessthan50k
0.356164384,private,6,Married-civ-spouse,Transport-Moving,Husband,White,Male,0.397959184,United-States,lessthan50k
0.575342466,private,9,Divorced,Tech Support,Unmarried,White,Female,0.397959184,United-States,lessthan50k
0.534246575,localgov,13,Married-civ-spouse,Tech Support,Husband,White,Male,0.397959184,United-States,morethan50k
0.02739726,private,9,Never-married,Craft-repair,Own-child,White,Male,0.397959184,United-States,lessthan50k
0.301369863,private,9,Divorced,Exec-Managerial,Not-in-family,White,Male,0.806122449,United-States,lessthan50k
0.438356164,private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.397959184,United-States,lessthan50k
0.082191781,private,12,Never-married,Craft-repair,Not-in-family,White,Male,0.520408163,United-States,lessthan50k
0.04109589,private,10,Never-married,Sales,Own-child,Black,Male,0.43877551,United-States,lessthan50k
0.383561644,private,13,Divorced,Exec-Managerial,Own-child,White,Male,0.397959184,United-States,lessthan50k
0.178082192,federalgov,10,Married-civ-spouse,Admin-clerical,Own-child,White,Male,0.397959184,United-States,lessthan50k
0.068493151,stategov,10,Married-civ-spouse,Other-Service,Husband,Black,Male,0.142857143,United-States,lessthan50k
0.424657534,private,6,Never-married,Machine-op-inspect,Unmarried,White,Male,0.397959184,Puerto-Rico,lessthan50k
0.054794521,private,10,Never-married,Machine-op-inspect,Own-child,White,Male,0.397959184,United-States,lessthan50k
0.02739726,private,9,Married-AF-spouse,Admin-clerical,Wife,White,Female,0.244897959,United-States,lessthan50k
0.424657534,selfempnotinc,12,Married-civ-spouse,Prof-Speciality,Husband,White,Male,0.397959184,United-States,lessthan50k
0.191780822,private,4,Married-civ-spouse,Machine-op-inspect,Husband,White,Male,0.428571429,United-States,lessthan50k
0.493150685,selfempnotinc,13,Married-civ-spouse,Prof-Speciality,Husband,White,Male,0.397959184,United-States,lessthan50k
0.095890411,private,13,Married-civ-spouse,Tech Support,Husband,White,Male,0.5,United-States,lessthan50k
0.438356164,private,9,Separated,Admin-clerical,Unmarried,White,Female,0.397959184,United-States,lessthan50k
0.109589041,private,9,Never-married,Handlers-Movers,Not-in-family,White,Male,0.346938776,United-States,lessthan50k
0.547945205,federalgov,13,Married-civ-spouse,Prof-Speciality,Husband,Black,Male,0.397959184,United-States,morethan50k
0.493150685,private,9,Married-civ-spouse,Machine-op-inspect,Husband,White,Male,0.37755102,United-States,lessthan50k
0.369863014,private,14,Divorced,Exec-Managerial,Unmarried,White,Female,0.397959184,United-States,lessthan50k
0.328767123,stategov,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0.397959184,United-States,lessthan50k
0.164383562,private,11,Never-married,Prof-Speciality,Not-in-family,White,Male,0.428571429,United-States,lessthan50k
0.109589041,private,10,Married-civ-spouse,Craft-repair,Wife,Other,Female,0.397959184,United-States,lessthan50k
0.410958904,private,8,Married-civ-spouse,Prof-Speciality,Wife,White,Female,0.602040816,Honduras,morethan50k
0.452054795,federalgov,13,Divorced,Exec-Managerial,Not-in-family,White,Male,0.551020408,United-States,morethan50k
0.410958904,selfempinc,9,Divorced,Exec-Managerial,Not-in-family,White,Male,0.602040816,United-States,lessthan50k
0.356164384,private,10,Married-civ-spouse,Tech Support,Husband,White,Male,0.397959184,United-States,morethan50k
0.397260274,private,2,Married-civ-spouse,Machine-op-inspect,Husband,White,Male,0.397959184,Mexico,lessthan50k
0.246575342,private,11,Married-civ-spouse,Other-Service,Husband,White,Male,0.397959184,Puerto-Rico,lessthan50k
0.328767123,private,9,Married-civ-spouse,Admin-clerical,Husband,White,Male,0.479591837,United-States,lessthan50k
0.178082192,private,9,Married-civ-spouse,Machine-op-inspect,Husband,White,Male,0.397959184,United-States,lessthan50k
0.178082192,private,13,Married-civ-spouse,Sales,Husband,White,Male,0.397959184,United-States,lessthan50k
0.424657534,private,9,Married-civ-spouse,Transport-Moving,Husband,White,Male,0.397959184,United-States,lessthan50k
0.342465753,private,15,Married-civ-spouse,Prof-Speciality,Husband,White,Male,0.448979592,United-States,morethan50k
0.164383562,private,10,Divorced,Tech Support,Not-in-family,White,Male,0.581632653,United-States,lessthan50k
0.260273973,private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.397959184,United-States,lessthan50k
0.150684932,private,10,Divorced,Admin-clerical,Not-in-family,White,Female,0.397959184,United-States,lessthan50k
0.493150685,private,9,Married-civ-spouse,Admin-clerical,Wife,White,Female,0.397959184,United-States,morethan50k
0.438356164,selfempinc,10,Married-civ-spouse,Exec-Managerial,Husband,White,Male,0.5,United-States,morethan50k
0.02739726,private,10,Never-married,Prof-Speciality,Own-child,White,Male,0.316326531,United-States,lessthan50k
0.191780822,private,13,Separated,Sales,Own-child,Black,Female,0.397959184,United-States,lessthan50k
0.164383562,selfempnotinc,13,Married-civ-spouse,Sales,Husband,White,Male,0.704081633,United-States,morethan50k
0.082191781,private,10,Never-married,Machine-op-inspect,Not-in-family,White,Male,0.397959184,United-States,lessthan50k
0.849315068,private,10,Married-civ-spouse,Prof-Speciality,Other-relative,White,Male,0.193877551,United-States,lessthan50k
0.136986301,private,9,Never-married,Other-Service,Own-child,White,Male,0.397959184,Mexico,lessthan50k
0.315068493,private,12,Married-civ-spouse,Admin-clerical,Husband,White,Male,0.397959184,United-States,lessthan50k
0.01369863,private,6,Never-married,Other-Service,Own-child,White,Female,0.214285714,United-States,lessthan50k
0.191780822,private,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.397959184,United-States,lessthan50k
0.01369863,private,9,Never-married,Sales,Not-in-family,White,Male,0.295918367,United-States,lessthan50k
0.479452055,private,13,Married-civ-spouse,Other-Service,Husband,White,Male,0.397959184,Cuba,lessthan50k
0.397260274,private,9,Married-civ-spouse,Other-Service,Wife,White,Female,0.397959184,United-States,lessthan50k
0.575342466,private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.479591837,United-States,lessthan50k
0.369863014,private,9,Divorced,Craft-repair,Not-in-family,White,Female,0.397959184,United-States,morethan50k
0.493150685,private,9,Divorced,Sales,Own-child,White,Female,0.346938776,United-States,lessthan50k
0.438356164,localgov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0.397959184,United-States,morethan50k
0.219178082,private,14,Married-civ-spouse,Prof-Speciality,Husband,White,Male,0.5,United-States,lessthan50k
0.178082192,private,4,Never-married,Sales,Not-in-family,White,Male,0.397959184,United-States,lessthan50k
0.356164384,federalgov,15,Never-married,Prof-Speciality,Not-in-family,White,Female,0.5,United-States,morethan50k
0.547945205,private,11,Married-civ-spouse,Prof-Speciality,Husband,White,Male,0.397959184,United-States,lessthan50k
0.273972603,private,10,Divorced,Craft-repair,Unmarried,White,Female,0.397959184,United-States,lessthan50k
0.150684932,private,10,Divorced,Machine-op-inspect,Unmarried,Black,Female,0.244897959,United-States,lessthan50k
0.232876712,localgov,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0.397959184,United-States,morethan50k
0.164383562,private,10,Never-married,Handlers-Movers,Not-in-family,White,Male,0.5,United-States,lessthan50k
0.424657534,selfempnotinc,15,Married-civ-spouse,Craft-repair,Husband,White,Male,0.602040816,United-States,morethan50k
0.273972603,private,10,Married-civ-spouse,Sales,Husband,White,Male,0.479591837,United-States,morethan50k
0.424657534,private,12,Divorced,Exec-Managerial,Unmarried,White,Female,0.397959184,England,lessthan50k
0.246575342,federalgov,9,Never-married,Other-Service,Own-child,Black,Male,0.397959184,United-States,lessthan50k
0.808219178,private,14,Married-civ-spouse,Exec-Managerial,Husband,White,Male,0.397959184,United-States,morethan50k
0.369863014,private,13,Married-civ-spouse,Exec-Managerial,Husband,White,Male,0.602040816,United-States,morethan50k
0.410958904,selfempnotinc,14,Never-married,Prof-Speciality,Not-in-family,White,Female,0.5,United-States,lessthan50k
0.04109589,private,10,Never-married,Tech Support,Own-child,White,Female,0.397959184,United-States,lessthan50k
0.246575342,private,9,Never-married,Craft-repair,Not-in-family,White,Male,0.397959184,United-States,lessthan50k
0.205479452,selfempinc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.397959184,United-States,morethan50k
0.178082192,private,6,Never-married,Handlers-Movers,Own-child,White,Male,0.397959184,United-States,lessthan50k
0.191780822,localgov,9,Never-married,Admin-clerical,Not-in-family,White,Female,0.397959184,United-States,lessthan50k
0.342465753,private,9,Married-civ-spouse,Handlers-Movers,Husband,White,Male,0.397959184,United-States,lessthan50k
0.246575342,private,13,Never-married,Sales,Other-relative,White,Male,0.397959184,United-States,lessthan50k
0.287671233,private,8,Married-civ-spouse,Prof-Speciality,Husband,White,Male,0.397959184,United-States,morethan50k
0.246575342,selfempnotinc,9,Married-civ-spouse,Other-Service,Husband,White,Male,0.5,Canada,morethan50k
0.150684932,private,10,Married-civ-spouse,Sales,Wife,White,Female,0.244897959,United-States,lessthan50k
0.260273973,private,9,Never-married,Machine-op-inspect,Own-child,White,Female,0.397959184,United-States,lessthan50k
0.493150685,private,4,Married-civ-spouse,Handlers-Movers,Husband,White,Male,0.5,United-States,lessthan50k
0.534246575,selfempinc,10,Married-civ-spouse,Sales,Husband,White,Male,0.5,United-States,lessthan50k
0.438356164,localgov,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.397959184,United-States,morethan50k
0.520547945,private,10,Married-civ-spouse,Sales,Husband,White,Male,0.56122449,United-States,lessthan50k
0.068493151,private,9,Never-married,Craft-repair,Not-in-family,White,Male,0.408163265,United-States,lessthan50k
0.054794521,private,10,Never-married,Other-Service,Own-child,White,Female,0.397959184,United-States,lessthan50k
0.315068493,private,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0.602040816,United-States,lessthan50k
0.178082192,private,13,Never-married,Exec-Managerial,Own-child,Black,Male,0.397959184,Germany,lessthan50k
0.164383562,stategov,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0.5,United-States,morethan50k
0.02739726,private,10,Never-married,Other-Service,Own-child,Black,Male,0.346938776,United-States,lessthan50k
0.410958904,private,13,Married-civ-spouse,Exec-Managerial,Wife,White,Female,0.397959184,United-States,morethan50k
0.04109589,private,10,Never-married,Admin-clerical,Own-child,White,Female,0.275510204,United-States,lessthan50k
0.191780822,private,12,Married-civ-spouse,Admin-clerical,Husband,White,Male,0.397959184,United-States,lessthan50k
